,simulated_based_on_ENSG00000142188,simulated_based_on_ENSG00000154654,simulated_based_on_ENSG00000183527,simulated_based_on_ENSG00000215326,simulated_based_on_ENSG00000231231,simulated_based_on_ENSG00000233036,simulated_based_on_ENSG00000273102,simulated_based_on_ENSG00000273692,simulated_based_on_ENSG00000275139,simulated_based_on_ENSG00000276529
Adeline,1505.3580695137352,12.220417353275113,433.21570149859025,0.5929204170761071,0.5631164380002187,0.01663724011266786,-2.460806812308131,0.30690404072578087,7.451295749044213,135.78660877116116
Aeriel,2211.255586846356,1.8461010369017183,284.4676351496057,0.18842835105168254,0.8735446007026689,-0.13860112045808426,-0.20969457701146532,0.2188410156440843,7.179850359802082,40.608745390636905
Aile,2661.4251205657033,-1.882922956922049,524.0800037965337,-0.2264463864438732,1.2913228371663723,0.04001091473271706,1.8186508821739822,0.0823402737132502,7.194639526973383,73.56236163394128
Aili,3020.0367936608977,9.292662499811431,461.4380050352971,-0.7793323174456981,-0.9178184398099712,0.055281209033836334,0.6971142359021483,-0.027490010689759592,4.25767188305414,110.2787855863753
Aimil,2595.5474503098503,-7.935378423947087,386.2780026844268,-0.3074388354104498,3.4895516473207127,0.08149690532854909,-1.7071660544812943,0.20522664560849146,8.805216779244,84.28835002420313
Ainsley,3132.994334453917,10.280802258205446,451.5060307506161,0.3109718575871653,-1.0914109435285382,-0.19204639872580792,-0.4022801933593392,0.24335504401561758,-0.5419793092511807,109.36001172313146
Alana,2573.206760332746,-7.885778827951103,191.63898291691166,-0.12437295653847447,1.899274499262992,0.3908930710537863,-0.2109143299011924,-0.40916431960779953,9.942939708441804,96.97393973644452
Albertina,2936.647732236103,3.598520479580649,345.5177224020171,-0.48674472375990563,1.8688926886176116,0.14714805499153433,2.5178053850562527,0.0420666135914719,9.82807245168186,74.38384432204147
Alexa,1734.3404133687231,14.902812270837714,436.61973230118576,-0.13586531684815692,4.576436590205778,-0.02996103314979788,2.914333067564816,-0.12952896293759442,19.427874015341644,53.76891161194193
Alexi,2817.4159590279187,19.187417908126754,269.0965146154118,0.025312650692383212,-1.3477013828049227,0.14168659971913639,0.4427669015306208,-0.14915527674053441,0.8554540386719065,110.55206498863505
